Date,Price,Open,High,Low,Change %
"Jul 07, 2014",59.955,59.8,60.06,59.72,0.39
"Jul 04, 2014",59.725,59.74,59.83,59.64,-0.03
"Jul 03, 2014",59.74,59.67,59.85,59.525,0.08
"Jul 02, 2014",59.692,60.03,60.095,59.585,-0.61
"Jul 01, 2014",60.06,60.07,60.2,60.045,0
"Jun 30, 2014",60.06,60.03,60.28,59.99,0.02
"Jun 27, 2014",60.045,60.195,60.21,60.03,-0.27
"Jun 26, 2014",60.21,60.02,60.26,60.02,0.21
"Jun 25, 2014",60.085,60.24,60.4,60.07,-0.12
"Jun 24, 2014",60.16,60.08,60.175,60.07,0
"Jun 23, 2014",60.16,60.05,60.305,60,-0.02
"Jun 20, 2014",60.175,60.22,60.345,60.12,0.13
"Jun 19, 2014",60.095,60.22,60.225,59.85,-0.34
"Jun 18, 2014",60.3,60.2,60.545,60.05,-0.05
"Jun 17, 2014",60.33,60.1,60.525,60.02,0.24
"Jun 16, 2014",60.185,59.7,60.24,59.7,0.8
"Jun 13, 2014",59.71,59.3,59.81,59.29,0.7
"Jun 12, 2014",59.295,59.22,59.375,59.085,-0.08
"Jun 11, 2014",59.34,59.32,59.37,59.22,0.21
"Jun 10, 2014",59.215,59.12,59.35,59.12,0.02
"Jun 09, 2014",59.205,59.1,59.21,58.97,0.05
"Jun 06, 2014",59.175,59.16,59.315,59.1,-0.14
"Jun 05, 2014",59.26,59.265,59.37,59.18,-0.03
"Jun 04, 2014",59.28,59.42,59.465,59.2,-0.1
"Jun 03, 2014",59.34,59.07,59.432,59.07,0.31
"Jun 02, 2014",59.155,59.1,59.275,59.06,-0.07
"May 30, 2014",59.195,59.03,59.195,58.925,0.47
"May 29, 2014",58.92,58.92,59.085,58.78,-0.04
"May 28, 2014",58.945,58.95,59.22,58.81,-0.17
"May 27, 2014",59.045,58.71,59.097,58.65,0.56
"May 26, 2014",58.715,58.44,58.925,58.405,0.32
"May 23, 2014",58.525,58.46,58.555,58.325,0.41
"May 22, 2014",58.285,58.6,58.7,58.25,-0.7
"May 21, 2014",58.695,58.7,58.875,58.63,0.18
"May 20, 2014",58.59,58.58,58.825,58.51,0.37
"May 19, 2014",58.375,58.55,58.615,58.36,-0.36
"May 16, 2014",58.585,59.35,59.365,58.57,-1.48
"May 15, 2014",59.465,59.4,59.615,59.085,-0.03
"May 14, 2014",59.485,59.39,59.515,59.375,0.03
