Date,Price,Open,High,Low,Vol.,Change %
"Feb 22, 2016",37.3,37.3,37.3,37.3,0,0
"Feb 19, 2016",37.3,37.3,37.3,37.3,0,0
"Feb 18, 2016",37.3,37.3,37.3,37.3,0,0
"Feb 17, 2016",37.3,37.3,37.3,37.3,0,0
"Feb 16, 2016",37.3,37.3,37.3,37.3,0,0.67
"Feb 15, 2016",37.05,37.05,37.05,37.05,0,0
"Feb 12, 2016",37.05,37.05,37.05,37.05,0,0
"Feb 11, 2016",37.05,37.05,37.05,37.05,0,0
"Feb 10, 2016",37.05,37.05,37.05,37.05,0,0
"Feb 09, 2016",37.05,37.05,37.05,37.05,0,0
"Feb 08, 2016",37.05,37.05,37.05,37.05,0,0
"Feb 05, 2016",37.05,37.05,37.05,37.05,0,0
"Feb 04, 2016",37.05,37.05,37.05,37.05,0,-1.33
"Feb 03, 2016",37.55,37.55,37.55,37.55,0,0
"Feb 02, 2016",37.55,37.55,37.55,37.55,0,-0.66
"Feb 01, 2016",37.8,37.8,37.8,37.8,0,0
"Jan 29, 2016",37.8,37.8,37.8,37.8,0,0
"Jan 28, 2016",37.8,37.8,37.8,37.8,0,0
"Jan 27, 2016",37.8,37.8,37.8,37.8,0,0
"Jan 26, 2016",37.8,37.8,37.8,37.8,0,0
"Jan 25, 2016",37.8,37.8,37.8,37.8,0,0
"Jan 22, 2016",37.8,37.8,37.8,37.8,0,1.75
"Jan 21, 2016",37.15,37.15,37.15,37.15,0,-0.4
"Jan 20, 2016",37.3,37.3,37.3,37.3,0,0
"Jan 19, 2016",37.3,37.3,37.3,37.3,0,-1.71
"Jan 18, 2016",37.95,37.95,37.95,37.95,0,0
"Jan 15, 2016",37.95,37.95,37.95,37.95,0,-1.3
"Jan 14, 2016",38.45,38.45,38.45,38.45,0,-0.77
"Jan 13, 2016",38.75,38.75,38.75,38.75,0,0.52
"Jan 12, 2016",38.55,38.55,38.55,38.55,0,-1.28
"Jan 11, 2016",39.05,39.05,39.05,39.05,0,0
"Jan 08, 2016",39.05,39.05,39.05,39.05,0,0
"Jan 07, 2016",39.05,39.05,39.05,39.05,0,1.3
"Jan 06, 2016",38.55,38.55,38.55,38.55,0,1.31
"Jan 05, 2016",38.05,38.05,38.05,38.05,0,0
"Jan 04, 2016",38.05,38.05,38.05,38.05,0,0.66
"Dec 31, 2015",37.8,37.8,37.8,37.8,0,0
"Dec 30, 2015",37.8,37.8,37.8,37.8,0,1.61
"Dec 29, 2015",37.2,37.2,37.2,37.2,0,0.4
"Dec 28, 2015",37.05,37.05,37.05,37.05,0,-1.98
"Dec 24, 2015",37.8,37.8,37.8,37.8,0,0
"Dec 23, 2015",37.8,37.8,37.8,37.8,0,0
"Dec 22, 2015",37.8,37.8,37.8,37.8,0,0
"Dec 21, 2015",37.8,37.8,37.8,37.8,0,0
"Dec 18, 2015",37.8,37.8,37.8,37.8,0,-1.31
"Dec 17, 2015",38.3,38.3,38.3,38.3,0,0
"Dec 16, 2015",38.3,38.3,38.3,38.3,0,-4.37
"Dec 15, 2015",40.05,40.05,40.05,40.05,0,-1.72
"Dec 14, 2015",40.75,40.75,40.75,40.75,0,-0.12
"Dec 11, 2015",40.8,40.8,40.8,40.8,0,0
"Dec 10, 2015",40.8,40.8,40.8,40.8,0,1.87
"Dec 09, 2015",40.05,40.05,40.05,40.05,0,0.38
"Dec 08, 2015",39.9,39.9,39.9,39.9,0,0
"Dec 07, 2015",39.9,39.9,39.9,39.9,0,0
"Dec 04, 2015",39.9,39.9,39.9,39.9,0,0
"Dec 03, 2015",39.9,39.9,39.9,39.9,0,0
"Dec 02, 2015",39.9,39.9,39.9,39.9,0,0
"Dec 01, 2015",39.9,39.9,39.9,39.9,0,-0.99
"Nov 30, 2015",40.3,40.3,40.3,40.3,0,-0.37
"Nov 27, 2015",40.45,40.45,40.45,40.45,0,0
"Nov 26, 2015",40.45,40.45,40.45,40.45,0,-0.86
"Nov 25, 2015",40.8,40.8,40.8,40.8,0,0
"Nov 24, 2015",40.8,40.8,40.8,40.8,0,0
"Nov 23, 2015",40.8,40.8,40.8,40.8,0,0
"Nov 20, 2015",40.8,40.8,40.8,40.8,0,-0.61
"Nov 19, 2015",41.05,41.05,41.05,41.05,0,0
"Nov 18, 2015",41.05,41.05,41.05,41.05,0,0
"Nov 17, 2015",41.05,41.05,41.05,41.05,0,5.12
"Nov 16, 2015",39.05,39.05,39.05,39.05,0,0.64
"Nov 13, 2015",38.8,38.8,38.8,38.8,0,0.13
"Nov 12, 2015",38.75,38.75,38.75,38.75,0,0
"Nov 11, 2015",38.75,38.75,38.75,38.75,0,0
"Nov 10, 2015",38.75,38.75,38.75,38.75,0,1.57
"Nov 09, 2015",38.15,38.15,38.15,38.15,0,0
"Nov 06, 2015",38.15,38.15,38.15,38.15,0,0
"Nov 05, 2015",38.15,38.15,38.15,38.15,0,1.19
"Nov 04, 2015",37.7,37.7,37.7,37.7,0,1.89
"Nov 03, 2015",37,37,37,37,0,1.09
"Nov 02, 2015",36.6,36.6,36.6,36.6,0,0
"Oct 30, 2015",36.6,36.6,36.6,36.6,0,0
"Oct 29, 2015",36.6,36.6,36.6,36.6,0,-0.27
"Oct 28, 2015",36.7,36.7,36.7,36.7,0,0
"Oct 27, 2015",36.7,36.7,36.7,36.7,0,-1.21
"Oct 26, 2015",37.15,37.15,37.15,37.15,0,1.64
"Oct 23, 2015",36.55,36.55,36.55,36.55,0,0
"Oct 22, 2015",36.55,36.55,36.55,36.55,0,-0.95
"Oct 21, 2015",36.9,36.9,36.9,36.9,0,0
"Oct 20, 2015",36.9,36.9,36.9,36.9,0,0.68
"Oct 19, 2015",36.65,36.65,36.65,36.65,0,0.27
"Oct 16, 2015",36.55,36.55,36.55,36.55,0,0
"Oct 15, 2015",36.55,36.55,36.55,36.55,0,0.27
"Oct 14, 2015",36.45,36.45,36.45,36.45,0,-1.49
"Oct 13, 2015",37,37,37,37,0,1.23
"Oct 12, 2015",36.55,36.55,36.55,36.55,0,2.81
"Oct 09, 2015",35.55,35.55,35.55,35.55,0,0
"Oct 08, 2015",35.55,35.55,35.55,35.55,0,0
"Oct 07, 2015",35.55,35.55,35.55,35.55,0,0
"Oct 06, 2015",35.55,35.55,35.55,35.55,0,-3.4
"Oct 05, 2015",36.8,36.8,36.8,36.8,0,0
"Oct 02, 2015",36.8,36.8,36.8,36.8,0,-4.54
"Oct 01, 2015",38.55,38.55,38.55,38.55,0,-2.65
"Sep 30, 2015",39.6,39.6,39.6,39.6,0,-1
"Sep 29, 2015",40,40,40,40,0,-3.73
"Sep 28, 2015",41.55,41.55,41.55,41.55,0,-1.47
"Sep 25, 2015",42.17,42.17,42.17,42.17,0,0
"Sep 24, 2015",42.17,42.17,42.17,42.17,0,-1.17
"Sep 23, 2015",42.67,42.67,42.67,42.67,0,-0.72
"Sep 22, 2015",42.98,42.98,42.98,42.98,0,-0.28
"Sep 21, 2015",43.1,43.1,43.1,43.1,0,-2.09
"Sep 18, 2015",44.02,44.02,44.02,44.02,0,0
"Sep 17, 2015",44.02,44.02,44.02,44.02,0,-0.56
"Sep 16, 2015",44.27,44.27,44.27,44.27,0,0
"Sep 15, 2015",44.27,44.27,44.27,44.27,0,-0.67
"Sep 14, 2015",44.57,44.57,44.57,44.57,0,0.16
"Sep 11, 2015",44.5,44.5,44.5,44.5,0,-0.07
"Sep 10, 2015",44.53,44.53,44.53,44.53,0,-0.76
"Sep 09, 2015",44.87,44.87,44.87,44.87,0,0.04
"Sep 08, 2015",44.85,44.85,44.85,44.85,0,-0.88
"Sep 07, 2015",45.25,45.25,45.25,45.25,0,0
"Sep 04, 2015",45.25,45.25,45.25,45.25,0,0
"Sep 03, 2015",45.25,45.25,45.25,45.25,0,0
"Sep 02, 2015",45.25,45.25,45.25,45.25,0,0.11
